date,v
1949/5/16,176.21
1949/5/17,174.8
1949/5/18,172.53
1949/5/19,171.34
1949/5/20,169.2
1949/5/23,171.85
1949/5/24,172.75
1949/5/25,171.53
1949/5/26,170.43
1949/5/27,172.76
1949/5/30,176.21
1949/5/31,176.52
1949/6/1,175.97
1949/6/2,174.76
1949/6/3,175.48
1949/6/6,174.92
1949/6/7,173.83
1949/6/8,171.53
1949/6/9,170.15
1949/6/10,167.98
1949/6/13,165.27
1949/6/14,158.98
1949/6/15,153.81
1949/6/16,157.8
1949/6/17,160.13
1949/6/20,155.45
1949/6/21,152.99
1949/6/22,155.01
1949/6/23,155.76
1949/6/24,154.04
1949/6/27,150.58
1949/6/28,147.13
1949/6/29,146.14
1949/6/30,146.92
1949/7/1,147.37
1949/7/4,149.14
1949/7/5,146.52
1949/7/6,144.18
1949/7/7,143.66
1949/7/8,142.16
1949/7/11,135.84
1949/7/12,134.8
1949/7/13,140.02
1949/7/14,141.28
1949/7/15,142.29
1949/7/18,147.23
1949/7/19,148.55
1949/7/20,147.09
1949/7/21,145.97
1949/7/22,145.67
1949/7/25,144.88
1949/7/26,144.66
1949/7/27,145.47
1949/7/28,145.51
1949/7/29,144.59
1949/8/1,145.63
1949/8/2,150
1949/8/3,154.46
1949/8/4,155.57
1949/8/5,154.24
1949/8/8,156.46
1949/8/9,157.68
1949/8/10,159.3
1949/8/11,162.75
1949/8/12,164.73
1949/8/15,159
1949/8/16,159.14
1949/8/17,158.23
1949/8/18,158.17
1949/8/19,158.81
1949/8/22,160.51
1949/8/23,162.02
1949/8/24,164.34
1949/8/25,167.64
1949/8/26,173.2
1949/8/29,173.22
1949/8/30,174.1
1949/8/31,175.18
1949/9/1,176.89
1949/9/2,173
1949/9/5,172.21
1949/9/6,172.41
1949/9/7,171.89
1949/9/8,170.11
1949/9/9,168.86
1949/9/12,172.23
1949/9/13,171.25
1949/9/14,169.87
1949/9/15,168.3
1949/9/16,162.54
1949/9/19,167.07
1949/9/20,163.94
1949/9/21,162.22
1949/9/22,163
1949/9/26,162.49
1949/9/27,160.41
1949/9/28,160.61
