ok	ng
6.107154968	0.447609359
5.913869108	0.12546626
5.527297389	-0.274669379
5.08646999	-0.688368939
4.554086131	-1.142760258
3.821634452	-1.566632757
2.953543574	-1.966768396
2.075279756	-2.244828756
1.264835537	-2.431332655
0.522210919	-2.478806375
-0.12207528	-2.556798915
-0.715496779	-2.553407935
-1.217361818	-2.441505595
-1.495422177	-2.160054256
-1.576805697	-1.932858596
-1.468294337	-1.675144117
-1.332655137	-1.369955917
-1.061376738	-1.071549678
-0.606985419	-0.807053238
-0.04408274	-0.627331299
0.549338759	-0.434045439
1.047812818	-0.21363174
1.634452357	-0.10512038
2.400813835	-0.18311292
3.106137674	-0.379789759
3.567310953	-0.467955239
4.042048152	-0.393353679
4.496439471	-0.389962699
5.01865039	-0.383180739
5.388267209	-0.349270939
5.595116989	-0.18311292
5.890132248	0.07799254
6.215666328	0.467955239
6.422516107	0.725669719
6.419125127	1.000339098
6.300440827	1.278399457
6.219057308	1.492031197
6.191929468	1.576805697
6.202102408	1.641234317
6.103763988	1.559850797
6.002034588	1.305527297
5.764665988	1.037639878
5.561207189	0.732451679
5.24584605	0.406917599
4.649033571	0.04069176
3.926754832	-0.295015259
3.292641573	-0.495083079
2.628009495	-0.484910139
1.837911156	-0.311970159
0.983384198	-0.20684978
0.24415056	0.0508647
-0.22380468	0.586639539
-0.573075619	1.353001017
-0.878263818	2.170227196
-1.003730078	2.946761614
-1.071549678	3.577483893
-1.000339098	4.092912852
-0.915564598	4.506612411
-0.718887759	4.747371991
-0.522210919	4.649033571
-0.305188199	4.381146151
-0.1186843	4.028484232
0.01017294	3.353679213
0.0169549	2.427941675
-0.05764666	1.325873177
-0.17293998	0.288233299
-0.315361139	-0.684977959
-0.596812479	-1.546286877
-0.942692438	-2.268565615
-1.397083757	-2.811122414
-1.715835877	-3.034927094
-1.881993896	-3.051881994
-2.007460156	-2.861987114
-2.238046796	-2.363513055
-2.319430315	-1.654798237
-2.204136996	-0.912173618
-1.976941336	-0.09833842
-1.705662937	0.718887759
-1.400474737	1.349610037
-1.000339098	1.807392336
-0.471346219	2.054933876
-0.07121058	2.054933876
0.20006782	1.983723296
0.484910139	1.705662937
0.722278739	1.224143778
0.976602238	0.522210919
1.108850458	-0.0847745
1.251271617	-0.651068159
1.434384537	-1.271617497
1.593760597	-1.773482536
1.715835877	-2.041369956
1.814174296	-1.993896236
1.871820956	-1.678535097
2.092234656	-1.285181417
2.387249915	-0.837572058
2.509325195	-0.339097999
2.553407935	0.14581214
2.550016955	0.501865039
2.628009495	0.590030519
2.634791455	0.515428959
2.546625975	0.386571719
2.227873856	-0.04069176
1.915903696	-0.718887759
1.607324517	-1.597151577
