ok,ng,ok2
6.107154968,0.447609359,12.34994914
5.913869108,0.12546626,12.23465582
5.527297389,-0.274669379,11.70905392
5.08646999,-0.688368939,10.91895558
4.554086131,-1.142760258,9.80671414
3.821634452,-1.566632757,8.345201763
2.953543574,-1.966768396,6.693794507
2.075279756,-2.244828756,4.77789081
1.264835537,-2.431332655,2.855205154
0.522210919,-2.478806375,0.956256358
-0.12207528,-2.556798915,-0.956256358
-0.715496779,-2.553407935,-2.770430654
-1.217361818,-2.441505595,-4.357409291
-1.495422177,-2.160054256,-5.608680909
-1.576805697,-1.932858596,-6.663275687
-1.468294337,-1.675144117,-7.426246185
-1.332655137,-1.369955917,-7.792472024
-1.061376738,-1.071549678,-7.677178705
-0.606985419,-0.807053238,-7.216005426
-0.04408274,-0.627331299,-6.527636487
0.549338759,-0.434045439,-5.649372669
1.047812818,-0.21363174,-4.571041031
1.634452357,-0.10512038,-3.329942353
2.400813835,-0.18311292,-2.095625636
3.106137674,-0.379789759,-0.857917938
3.567310953,-0.467955239,0.444218379
4.042048152,-0.393353679,1.780264496
4.496439471,-0.389962699,2.990844354
5.01865039,-0.383180739,3.974228552
5.388267209,-0.349270939,4.87622923
5.595116989,-0.18311292,5.730756189
5.890132248,0.07799254,6.486944727
6.215666328,0.467955239,7.121057986
6.422516107,0.725669719,7.633095965
6.419125127,1.000339098,8.012885724
6.300440827,1.278399457,8.385893523
6.219057308,1.492031197,8.514750763
6.191929468,1.576805697,8.423194303
6.202102408,1.641234317,8.250254323
6.103763988,1.559850797,7.968802984
6.002034588,1.305527297,7.446592065
5.764665988,1.037639878,6.822651746
5.561207189,0.732451679,6.012207528
5.24584605,0.406917599,5.08986097
4.649033571,0.04069176,4.075957952
3.926754832,-0.295015259,2.848423194
3.292641573,-0.495083079,1.641234317
2.628009495,-0.484910139,0.464564259
1.837911156,-0.311970159,-0.603594439
0.983384198,-0.20684978,-1.627670397
0.24415056,0.0508647,-2.458460495
-0.22380468,0.586639539,-3.075618854
-0.573075619,1.353001017,-3.452017633
-0.878263818,2.170227196,-3.448626653
-1.003730078,2.946761614,-3.207867074
-1.071549678,3.577483893,-2.631400475
-1.000339098,4.092912852,-1.692099017
-0.915564598,4.506612411,-0.447609359
-0.718887759,4.747371991,0.963038318
-0.522210919,4.649033571,2.404204815
-0.305188199,4.381146151,3.916581892
-0.1186843,4.028484232,5.412004069
0.01017294,3.353679213,6.792132926
0.0169549,2.427941675,7.992539844
-0.05764666,1.325873177,8.986096982
-0.17293998,0.288233299,9.82706002
-0.315361139,-0.684977959,10.46456426
-0.596812479,-1.546286877,10.89521872
-0.942692438,-2.268565615,11.05798576
-1.397083757,-2.811122414,11.06476772
-1.715835877,-3.034927094,10.92573754
-1.881993896,-3.051881994,10.6273313
-2.007460156,-2.861987114,10.13903018
-2.238046796,-2.363513055,9.498134961
-2.319430315,-1.654798237,8.843675822
-2.204136996,-0.912173618,8.009494744
-1.976941336,-0.09833842,7.121057986
-1.705662937,0.718887759,6.039335368
-1.400474737,1.349610037,4.91692099
-1.000339098,1.807392336,3.774160732
-0.471346219,2.054933876,2.580535775
-0.07121058,2.054933876,1.281790437
0.20006782,1.983723296,0.07121058
0.484910139,1.705662937,-1.034248898
0.722278739,1.224143778,-2.085452696
0.976602238,0.522210919,-3.099355714
1.108850458,-0.0847745,-3.984401492
1.251271617,-0.651068159,-4.665988471
1.434384537,-1.271617497,-5.13733469
1.593760597,-1.773482536,-5.388267209
1.715835877,-2.041369956,-5.371312309
1.814174296,-1.993896236,-5.00847745
1.871820956,-1.678535097,-4.259070871
2.092234656,-1.285181417,-3.238385894
2.387249915,-0.837572058,-2.010851136
2.509325195,-0.339097999,-0.556120719
2.553407935,0.14581214,1.098677518
2.550016955,0.501865039,2.848423194
2.628009495,0.590030519,4.571041031
2.634791455,0.515428959,6.317395727
2.546625975,0.386571719,7.968802984
2.227873856,-0.04069176,9.460834181
1.915903696,-0.718887759,10.7121058
1.607324517,-1.597151577,11.62427942
1.115632418,-2.499152255,12.2380468
0.434045439,-3.380807053,12.71956595
-0.315361139,-4.075957952,12.85859613
-1.017293998,-4.686334351,12.83825025
-1.570023737,-5.10681587,12.53645303
-2.105798576,-5.16446253,12.0854527
-2.600881655,-5.00847745,11.36995592
-2.973889454,-4.696507291,10.5256019
-3.126483554,-3.953882672,9.457443201
-3.173957274,-2.875551034,8.294337063
-3.282468633,-1.627670397,7.104103086
-3.513055273,-0.278060359,5.808748728
-3.526619193,0.922346558,4.398101051
-3.519837233,1.932858596,2.963716514
-3.404543913,2.638182435,1.481858257
-3.445235673,2.963716514,-0.11190234
-3.499491353,2.939979654,-1.671753137
-3.509664293,2.607663615,-3.224821974
-3.394370973,1.959986436,-4.513394371
-3.333333333,0.963038318,-5.595116989
-3.475754493,-0.2373686,-6.571719227
